,Recent_price
A,152.07000732421875
AAL,17.75
AAP,226.72999572753906
AAPL,156.80999755859375
ABBV,116.51000213623047
ABC,120.2300033569336
ABMD,325.9800109863281
ABT,125.87999725341797
ACN,353.6000061035156
ADBE,662.0999755859375
ADI,178.0
ADM,64.4000015258789
ADP,229.6199951171875
ADSK,254.1699981689453
AEE,84.51000213623047
AEP,82.55000305175781
AES,23.829999923706055
AFL,55.56999969482422
AIG,56.04999923706055
AIZ,157.30999755859375
AJG,163.13999938964844
AKAM,111.94000244140625
ALB,266.8500061035156
ALGN,634.219970703125
ALK,49.45000076293945
ALL,115.12000274658203
ALLE,129.3699951171875
AMAT,143.2899932861328
AMCR,11.539999961853027
AMD,154.80999755859375
AME,139.08999633789062
AMGN,201.08999633789062
AMP,291.739990234375
AMT,262.8699951171875
AMZN,3504.56005859375
ANET,124.97000122070312
ANSS,382.4800109863281
ANTM,415.5199890136719
AON,294.1099853515625
AOS,81.0
APA,26.239999771118164
APD,293.6400146484375
APH,81.62000274658203
APTV,163.41000366210938
ARE,204.4499969482422
ATO,93.37999725341797
ATVI,60.619998931884766
AVB,239.38999938964844
AVGO,546.5900268554688
AVY,213.9499969482422
AWK,170.30999755859375
AXP,156.82000732421875
AZO,1814.1800537109375
BA,199.2100067138672
BAC,45.7599983215332
BAX,76.29000091552734
BBWI,74.61000061035156
BBY,114.7699966430664
BDX,245.08999633789062
BEN,33.13999938964844
BF-B,74.4000015258789
BIIB,242.89999389648438
BIO,750.1699829101562
BK,56.75
BKNG,2155.56005859375
BKR,23.059999465942383
BLK,901.6400146484375
BLL,94.69999694824219
BMY,56.529998779296875
BR,171.57000732421875
BRK-B,283.0899963378906
BRO,64.76000213623047
BSX,38.56999969482422
BWA,45.22999954223633
BXP,111.68000030517578
C,65.5
CAG,31.600000381469727
CAH,47.599998474121094
CARR,55.380001068115234
CAT,198.72999572753906
CB,184.5500030517578
CBOE,128.8800048828125
CBRE,98.08999633789062
CCI,183.5
CCL,17.950000762939453
CDAY,111.3499984741211
CDNS,178.36000061035156
CDW,191.16000366210938
CE,160.88999938964844
CERN,72.30000305175781
CF,62.79999923706055
CFG,48.560001373291016
CHD,93.33999633789062
CHRW,96.27999877929688
CHTR,672.8699951171875
CI,202.02999877929688
CINF,117.2699966430664
CL,77.05999755859375
CLX,174.2100067138672
CMA,85.26000213623047
CMCSA,51.099998474121094
CME,222.16000366210938
CMG,1686.8800048828125
CMI,219.67999267578125
CMS,60.130001068115234
CNC,73.9000015258789
CNP,26.229999542236328
COF,149.16000366210938
COO,379.94000244140625
COP,71.4800033569336
COST,546.1300048828125
CPB,41.52000045776367
CPRT,145.92999267578125
CRL,375.2799987792969
CRM,284.2099914550781
CSCO,54.66999816894531
CSX,35.56999969482422
CTAS,428.2900085449219
CTLT,132.30999755859375
CTRA,21.0
CTSH,78.4000015258789
CTVA,46.83000183105469
CTXS,82.9000015258789
CVS,91.5199966430664
CVX,114.51000213623047
CZR,91.19999694824219
D,73.66999816894531
DAL,36.380001068115234
DD,76.95999908447266
DE,359.29998779296875
DFS,114.56999969482422
DG,224.4199981689453
DGX,154.9499969482422
DHI,98.75
DHR,323.9599914550781
DIS,148.11000061035156
DISCA,24.719999313354492
DISCK,24.219999313354492
DISH,33.34000015258789
DLR,164.75999450683594
DLTR,141.11000061035156
DOV,171.24000549316406
DOW,57.599998474121094
DPZ,529.8800048828125
DRE,58.369998931884766
DRI,140.5500030517578
DTE,110.66000366210938
DUK,99.27999877929688
DVA,97.29000091552734
DVN,42.70000076293945
DXC,30.5
DXCM,591.9600219726562
EA,125.97000122070312
EBAY,72.47000122070312
ECL,226.22999572753906
ED,78.66999816894531
EFX,277.739990234375
EIX,64.94000244140625
EL,334.3500061035156
EMN,110.5
EMR,90.30999755859375
ENPH,247.4199981689453
EOG,87.41999816894531
EQIX,793.8400268554688
EQR,84.2699966430664
ES,84.72000122070312
ESS,340.69000244140625
ETN,167.50999450683594
ETR,103.08999633789062
ETSY,291.3800048828125
EVRG,64.51000213623047
EW,109.5199966430664
EXC,53.43000030517578
EXPD,123.88999938964844
EXPE,159.8000030517578
EXR,198.7899932861328
F,19.75
FANG,107.4800033569336
FAST,60.11000061035156
FB,333.1199951171875
FBHS,102.93000030517578
FCX,37.2400016784668
FDX,238.14999389648438
FE,37.90999984741211
FFIV,226.25
FIS,108.01000213623047
FISV,98.25
FITB,42.47999954223633
FLT,215.14999389648438
FMC,102.63999938964844
FOX,35.06999969482422
FOXA,37.619998931884766
FRC,211.22999572753906
FRT,124.94999694824219
FTNT,327.3900146484375
FTV,75.72000122070312
GD,193.3699951171875
GE,97.83999633789062
GILD,70.2699966430664
GIS,62.7599983215332
GL,89.08000183105469
GLW,37.959999084472656
GM,60.16999816894531
GNRC,433.1499938964844
GOOG,2856.1201171875
GOOGL,2843.659912109375
GPC,132.3800048828125
GPN,123.16000366210938
GPS,17.329999923706055
GRMN,139.38999938964844
GS,389.3900146484375
GWW,489.5400085449219
HAL,21.649999618530273
HAS,98.75
HBAN,15.369999885559082
HBI,16.81999969482422
HCA,231.0
HD,402.70001220703125
HES,76.04000091552734
HIG,69.25
HII,183.27000427246094
HLT,136.2100067138672
HOLX,76.83000183105469
HON,208.2100067138672
HPE,14.430000305175781
HPQ,34.58000183105469
HRL,42.810001373291016
HSIC,73.63999938964844
HST,16.43000030517578
HSY,177.9199981689453
HUM,428.489990234375
HWM,28.75
IBM,115.80999755859375
ICE,129.67999267578125
IDXX,607.52001953125
IEX,230.94000244140625
IFF,144.57000732421875
ILMN,369.7900085449219
INCY,68.37999725341797
INFO,127.31999969482422
INTC,48.779998779296875
INTU,666.9099731445312
IP,47.529998779296875
IPG,33.790000915527344
IPGP,157.77000427246094
IQV,262.05999755859375
IR,58.939998626708984
IRM,46.689998626708984
ISRG,329.2300109863281
IT,321.2200012207031
ITW,234.75
IVZ,23.1299991607666
J,145.72999572753906
JBHT,194.57000732421875
JCI,77.41999816894531
JKHY,151.13999938964844
JNJ,159.1999969482422
JNPR,31.450000762939453
JPM,161.92999267578125
K,63.63999938964844
KEY,22.899999618530273
KEYS,191.3699951171875
KHC,34.83000183105469
KIM,23.239999771118164
KLAC,398.9599914550781
KMB,135.27000427246094
KMI,16.260000228881836
KMX,145.75
KO,53.72999954223633
KR,43.13999938964844
KSU,294.92999267578125
L,55.06999969482422
LDOS,91.16000366210938
LEG,41.11000061035156
LEN,107.04000091552734
LH,289.29998779296875
LHX,215.1199951171875
LIN,320.57000732421875
LKQ,57.560001373291016
LLY,260.3699951171875
LMT,342.7200012207031
LNC,68.1500015258789
LNT,56.7400016784668
LOW,247.69000244140625
LRCX,641.97998046875
LUMN,13.1899995803833
LUV,44.959999084472656
LVS,37.869998931884766
LW,52.75
LYB,89.44000244140625
LYV,103.52999877929688
MA,324.1700134277344
MAA,203.57000732421875
MAR,147.44000244140625
MAS,67.08000183105469
MCD,250.00999450683594
MCHP,80.06999969482422
MCK,221.61000061035156
MCO,384.0899963378906
MDLZ,60.25
MDT,111.05000305175781
MET,60.099998474121094
MGM,41.849998474121094
MHK,175.4199981689453
MKC,85.54000091552734
MKTX,360.5199890136719
MLM,414.9200134277344
MMC,166.41000366210938
MMM,175.52000427246094
MNST,87.05000305175781
MO,43.7400016784668
MOS,35.31999969482422
MPC,61.349998474121094
MPWR,535.02001953125
MRK,79.16000366210938
MRNA,329.6300048828125
MRO,15.699999809265137
MS,97.93000030517578
MSCI,621.0399780273438
MSFT,329.67999267578125
MSI,253.5800018310547
MTB,153.99000549316406
MTCH,133.6699981689453
MTD,1496.6500244140625
MU,83.41999816894531
NCLH,20.059999465942383
NDAQ,203.67999267578125
NEE,86.08999633789062
