,Ticker,Attribute,Recent
0,A,Market Cap (intraday) 5,46.31B
1,A,Enterprise Value 3,47.74B
2,A,Trailing P/E,47.65
3,A,Forward P/E 1,31.35
4,A,PEG Ratio (5 yr expected) 1,2.12
5,A,Price/Sales (ttm),7.68
6,A,Price/Book (mrq),9.36
7,A,Enterprise Value/Revenue 3,7.55
8,A,Enterprise Value/EBITDA 7,27.09
9,AAL,Market Cap (intraday) 5,12.61B
10,AAL,Enterprise Value 3,44.73B
11,AAL,Trailing P/E,2.81
12,AAL,Forward P/E 1,1.00k
13,AAL,PEG Ratio (5 yr expected) 1,
14,AAL,Price/Sales (ttm),0.50
15,AAL,Price/Book (mrq),
16,AAL,Enterprise Value/Revenue 3,1.83
17,AAL,Enterprise Value/EBITDA 7,-18.20
18,AAP,Market Cap (intraday) 5,14.70B
19,AAP,Enterprise Value 3,17.29B
20,AAP,Trailing P/E,23.91
21,AAP,Forward P/E 1,18.62
22,AAP,PEG Ratio (5 yr expected) 1,1.14
23,AAP,Price/Sales (ttm),1.41
24,AAP,Price/Book (mrq),4.60
25,AAP,Enterprise Value/Revenue 3,1.58
26,AAP,Enterprise Value/EBITDA 7,15.22
27,AAPL,Market Cap (intraday) 5,2.66T
28,AAPL,Enterprise Value 3,2.72T
29,AAPL,Trailing P/E,28.87
30,AAPL,Forward P/E 1,28.99
31,AAPL,PEG Ratio (5 yr expected) 1,3.48
32,AAPL,Price/Sales (ttm),7.47
33,AAPL,Price/Book (mrq),42.11
34,AAPL,Enterprise Value/Revenue 3,7.43
35,AAPL,Enterprise Value/EBITDA 7,22.08
36,ABBV,Market Cap (intraday) 5,209.78B
37,ABBV,Enterprise Value 3,278.25B
38,ABBV,Trailing P/E,28.66
39,ABBV,Forward P/E 1,8.56
40,ABBV,PEG Ratio (5 yr expected) 1,
41,ABBV,Price/Sales (ttm),3.82
42,ABBV,Price/Book (mrq),15.48
43,ABBV,Enterprise Value/Revenue 3,5.04
44,ABBV,Enterprise Value/EBITDA 7,15.21
45,ABC,Market Cap (intraday) 5,25.65B
46,ABC,Enterprise Value 3,29.79B
47,ABC,Trailing P/E,16.70
48,ABC,Forward P/E 1,11.70
49,ABC,PEG Ratio (5 yr expected) 1,1.52
50,ABC,Price/Sales (ttm),0.12
51,ABC,Price/Book (mrq),43.89
52,ABC,Enterprise Value/Revenue 3,0.14
53,ABC,Enterprise Value/EBITDA 7,10.27
54,ABMD,Market Cap (intraday) 5,15.37B
55,ABMD,Enterprise Value 3,14.72B
56,ABMD,Trailing P/E,103.61
57,ABMD,Forward P/E 1,
58,ABMD,PEG Ratio (5 yr expected) 1,
59,ABMD,Price/Sales (ttm),15.89
60,ABMD,Price/Book (mrq),11.10
61,ABMD,Enterprise Value/Revenue 3,15.12
62,ABMD,Enterprise Value/EBITDA 7,51.17
63,ABT,Market Cap (intraday) 5,222.59B
64,ABT,Enterprise Value 3,231.30B
65,ABT,Trailing P/E,31.24
66,ABT,Forward P/E 1,26.53
67,ABT,PEG Ratio (5 yr expected) 1,2.45
68,ABT,Price/Sales (ttm),5.33
69,ABT,Price/Book (mrq),6.47
70,ABT,Enterprise Value/Revenue 3,5.47
71,ABT,Enterprise Value/EBITDA 7,18.76
72,ACN,Market Cap (intraday) 5,227.83B
73,ACN,Enterprise Value 3,223.17B
74,ACN,Trailing P/E,39.38
75,ACN,Forward P/E 1,35.46
76,ACN,PEG Ratio (5 yr expected) 1,3.35
77,ACN,Price/Sales (ttm),4.61
78,ACN,Price/Book (mrq),11.67
79,ACN,Enterprise Value/Revenue 3,4.42
80,ACN,Enterprise Value/EBITDA 7,22.98
81,ADBE,Market Cap (intraday) 5,316.48B
82,ADBE,Enterprise Value 3,315.00B
83,ADBE,Trailing P/E,55.06
84,ADBE,Forward P/E 1,46.73
85,ADBE,PEG Ratio (5 yr expected) 1,2.41
86,ADBE,Price/Sales (ttm),21.20
87,ADBE,Price/Book (mrq),21.96
88,ADBE,Enterprise Value/Revenue 3,20.86
89,ADBE,Enterprise Value/EBITDA 7,49.85
90,ADI,Market Cap (intraday) 5,98.06B
91,ADI,Enterprise Value 3,101.73B
92,ADI,Trailing P/E,39.93
93,ADI,Forward P/E 1,25.06
94,ADI,PEG Ratio (5 yr expected) 1,1.97
95,ADI,Price/Sales (ttm),10.45
96,ADI,Price/Book (mrq),8.00
97,ADI,Enterprise Value/Revenue 3,13.90
98,ADI,Enterprise Value/EBITDA 7,39.31
99,ADM,Market Cap (intraday) 5,37.10B
100,ADM,Enterprise Value 3,45.98B
101,ADM,Trailing P/E,14.32
102,ADM,Forward P/E 1,14.18
103,ADM,PEG Ratio (5 yr expected) 1,3.17
104,ADM,Price/Sales (ttm),0.47
105,ADM,Price/Book (mrq),1.69
106,ADM,Enterprise Value/Revenue 3,0.57
107,ADM,Enterprise Value/EBITDA 7,10.69
108,ADP,Market Cap (intraday) 5,98.76B
109,ADP,Enterprise Value 3,100.53B
110,ADP,Trailing P/E,37.08
111,ADP,Forward P/E 1,34.60
112,ADP,PEG Ratio (5 yr expected) 1,3.30
113,ADP,Price/Sales (ttm),6.51
114,ADP,Price/Book (mrq),18.46
115,ADP,Enterprise Value/Revenue 3,6.54
116,ADP,Enterprise Value/EBITDA 7,24.71
117,ADSK,Market Cap (intraday) 5,66.83B
118,ADSK,Enterprise Value 3,67.99B
119,ADSK,Trailing P/E,51.35
120,ADSK,Forward P/E 1,43.48
121,ADSK,PEG Ratio (5 yr expected) 1,1.58
122,ADSK,Price/Sales (ttm),16.72
123,ADSK,Price/Book (mrq),50.33
124,ADSK,Enterprise Value/Revenue 3,16.83
125,ADSK,Enterprise Value/EBITDA 7,87.42
126,AEE,Market Cap (intraday) 5,21.77B
127,AEE,Enterprise Value 3,34.82B
128,AEE,Trailing P/E,22.12
129,AEE,Forward P/E 1,20.75
130,AEE,PEG Ratio (5 yr expected) 1,2.75
131,AEE,Price/Sales (ttm),3.49
132,AEE,Price/Book (mrq),2.25
133,AEE,Enterprise Value/Revenue 3,5.64
134,AEE,Enterprise Value/EBITDA 7,12.84
135,AEP,Market Cap (intraday) 5,41.61B
136,AEP,Enterprise Value 3,77.93B
137,AEP,Trailing P/E,17.61
138,AEP,Forward P/E 1,16.81
139,AEP,PEG Ratio (5 yr expected) 1,2.90
140,AEP,Price/Sales (ttm),2.56
141,AEP,Price/Book (mrq),1.87
142,AEP,Enterprise Value/Revenue 3,4.77
143,AEP,Enterprise Value/EBITDA 7,11.74
144,AES,Market Cap (intraday) 5,16.41B
145,AES,Enterprise Value 3,35.88B
146,AES,Trailing P/E,31.55
147,AES,Forward P/E 1,15.02
148,AES,PEG Ratio (5 yr expected) 1,1.88
149,AES,Price/Sales (ttm),1.56
150,AES,Price/Book (mrq),6.73
151,AES,Enterprise Value/Revenue 3,3.28
152,AES,Enterprise Value/EBITDA 7,11.69
153,AFL,Market Cap (intraday) 5,37.71B
154,AFL,Enterprise Value 3,39.57B
155,AFL,Trailing P/E,9.22
156,AFL,Forward P/E 1,10.93
157,AFL,PEG Ratio (5 yr expected) 1,
158,AFL,Price/Sales (ttm),1.74
