,Ticker,Breakdown,Recent,Before_1,Before_2,Before_3
0,A,researchDevelopment,116000000,113000000,109000000,103000000
1,A,effectOfAccountingCharges,,,,
2,A,incomeBeforeTax,448000000,327000000,273000000,312000000
3,A,minorityInterest,,,,
4,A,netIncome,442000000,264000000,216000000,288000000
5,A,sellingGeneralAdministrative,389000000,390000000,420000000,398000000
6,A,grossProfit,900000000,852000000,817000000,838000000
7,A,ebit,395000000,349000000,288000000,337000000
8,A,operatingIncome,395000000,349000000,288000000,337000000
9,A,otherOperatingExpenses,,,,
10,A,interestExpense,-21000000,-21000000,-20000000,-19000000
11,A,extraordinaryItems,,,,
12,A,nonRecurring,,,,
13,A,otherItems,,,,
14,A,incomeTaxExpense,6000000,63000000,57000000,24000000
15,A,totalRevenue,1660000000,1586000000,1525000000,1548000000
16,A,totalOperatingExpenses,1265000000,1237000000,1237000000,1211000000
17,A,costOfRevenue,760000000,734000000,708000000,710000000
18,A,totalOtherIncomeExpenseNet,53000000,-22000000,-15000000,-25000000
19,A,discontinuedOperations,,,,
20,A,netIncomeFromContinuingOps,442000000,264000000,216000000,288000000
21,A,netIncomeApplicableToCommonShares,442000000,264000000,216000000,288000000
22,AAL,researchDevelopment,,,,
23,AAL,effectOfAccountingCharges,,,,
24,AAL,incomeBeforeTax,206000000,9000000,-1573000000,-2809000000
25,AAL,minorityInterest,,,,
26,AAL,netIncome,169000000,19000000,-1250000000,-2178000000
27,AAL,sellingGeneralAdministrative,318000000,277000000,151000000,95000000
28,AAL,grossProfit,1525000000,787000000,-1806000000,-1333000000
29,AAL,ebit,-382000000,-929000000,-3151000000,-2476000000
30,AAL,operatingIncome,-382000000,-929000000,-3151000000,-2476000000
31,AAL,otherOperatingExpenses,1109000000,958000000,716000000,565000000
32,AAL,interestExpense,-476000000,-486000000,-371000000,-376000000
33,AAL,extraordinaryItems,,,,
34,AAL,nonRecurring,,,,
35,AAL,otherItems,,,,
36,AAL,incomeTaxExpense,37000000,-10000000,-323000000,-631000000
37,AAL,totalRevenue,8969000000,7478000000,4008000000,4028000000
38,AAL,totalOperatingExpenses,9351000000,8407000000,7159000000,6504000000
39,AAL,costOfRevenue,7444000000,6691000000,5814000000,5361000000
40,AAL,totalOtherIncomeExpenseNet,588000000,938000000,1578000000,-333000000
41,AAL,discontinuedOperations,,,,
42,AAL,netIncomeFromContinuingOps,169000000,19000000,-1250000000,-2178000000
43,AAL,netIncomeApplicableToCommonShares,169000000,19000000,-1250000000,-2178000000
44,AAP,researchDevelopment,,,,
45,AAP,effectOfAccountingCharges,,,,
46,AAP,incomeBeforeTax,222421000,237765000,245774000,140744000
47,AAP,minorityInterest,,,,
48,AAP,netIncome,169813000,178696000,185930000,111997000
49,AAP,sellingGeneralAdministrative,944581000,932793000,1200138000,892391000
50,AAP,grossProfit,1182597000,1189416000,1487229000,1085230000
51,AAP,ebit,238016000,256623000,287091000,165502000
52,AAP,operatingIncome,238016000,256623000,287091000,165502000
53,AAP,otherOperatingExpenses,,,,
54,AAP,interestExpense,-8587000,-8306000,-11191000,-9296000
55,AAP,extraordinaryItems,,,,
56,AAP,nonRecurring,,,,
57,AAP,otherItems,,,,
58,AAP,incomeTaxExpense,52608000,59069000,59844000,28747000
59,AAP,totalRevenue,2621229000,2649415000,3330370000,2365131000
60,AAP,totalOperatingExpenses,2383213000,2392792000,3043279000,2199629000
61,AAP,costOfRevenue,1438632000,1459999000,1843141000,1279901000
62,AAP,totalOtherIncomeExpenseNet,-15595000,-18858000,-41317000,-24758000
63,AAP,discontinuedOperations,,,,
64,AAP,netIncomeFromContinuingOps,169813000,178696000,185930000,111997000
65,AAP,netIncomeApplicableToCommonShares,169813000,178696000,185930000,111997000
66,AAPL,researchDevelopment,5772000000,5717000000,5262000000,5163000000
67,AAPL,effectOfAccountingCharges,,,,
68,AAPL,incomeBeforeTax,23248000000,24369000000,28011000000,33579000000
69,AAPL,minorityInterest,,,,
70,AAPL,netIncome,20551000000,21744000000,23630000000,28755000000
71,AAPL,sellingGeneralAdministrative,5616000000,5412000000,5314000000,5631000000
72,AAPL,grossProfit,35174000000,35255000000,38079000000,44328000000
73,AAPL,ebit,23786000000,24126000000,27503000000,33534000000
74,AAPL,operatingIncome,23786000000,24126000000,27503000000,33534000000
75,AAPL,otherOperatingExpenses,,,,
76,AAPL,interestExpense,-672000000,-665000000,-670000000,-638000000
77,AAPL,extraordinaryItems,,,,
78,AAPL,nonRecurring,,,,
79,AAPL,otherItems,,,,
80,AAPL,incomeTaxExpense,2697000000,2625000000,4381000000,4824000000
81,AAPL,totalRevenue,83360000000,81434000000,89584000000,111439000000
82,AAPL,totalOperatingExpenses,59574000000,57308000000,62081000000,77905000000
83,AAPL,costOfRevenue,48186000000,46179000000,51505000000,67111000000
84,AAPL,totalOtherIncomeExpenseNet,-538000000,243000000,508000000,45000000
85,AAPL,discontinuedOperations,,,,
86,AAPL,netIncomeFromContinuingOps,20551000000,21744000000,23630000000,28755000000
87,AAPL,netIncomeApplicableToCommonShares,20551000000,21744000000,23630000000,28755000000
88,ABBV,researchDevelopment,1655000000,1784000000,1731000000,1821000000
89,ABBV,effectOfAccountingCharges,,,,
90,ABBV,incomeBeforeTax,3688000000,1163000000,3867000000,-1507000000
91,ABBV,minorityInterest,27000000,25000000,23000000,21000000
92,ABBV,netIncome,3179000000,766000000,3553000000,36000000
93,ABBV,sellingGeneralAdministrative,2946000000,3049000000,2741000000,3099000000
94,ABBV,grossProfit,9998000000,9461000000,8818000000,10448000000
95,ABBV,ebit,4897000000,4696000000,4346000000,5528000000
96,ABBV,operatingIncome,4897000000,4696000000,4346000000,5528000000
97,ABBV,otherOperatingExpenses,500000000,-68000000,-68000000,-68000000
98,ABBV,interestExpense,-596000000,-615000000,-632000000,-629000000
99,ABBV,extraordinaryItems,,,,
100,ABBV,nonRecurring,,,,
101,ABBV,otherItems,,,,
102,ABBV,incomeTaxExpense,508000000,394000000,312000000,-1545000000
103,ABBV,totalRevenue,14342000000,13959000000,13010000000,13858000000
104,ABBV,totalOperatingExpenses,9445000000,9263000000,8664000000,8330000000
105,ABBV,costOfRevenue,4344000000,4498000000,4192000000,3410000000
106,ABBV,totalOtherIncomeExpenseNet,-1209000000,-3533000000,-479000000,-7035000000
107,ABBV,discontinuedOperations,,,,
108,ABBV,netIncomeFromContinuingOps,3180000000,769000000,3555000000,38000000
109,ABBV,netIncomeApplicableToCommonShares,3158000000,751000000,3536000000,20000000
110,ABC,researchDevelopment,,,,
111,ABC,effectOfAccountingCharges,,,,
112,ABC,incomeBeforeTax,553936000,573530000,566511000,527882000
113,ABC,minorityInterest,361057000,370479000,178974000,185674000
114,ABC,netIncome,437698000,292122000,435267000,374845000
115,ABC,sellingGeneralAdministrative,1215688000,913414000,730081000,735068000
116,ABC,grossProfit,1900617000,1888206000,1533381000,1452230000
117,ABC,ebit,507208000,847691000,702503000,617609000
118,ABC,operatingIncome,507208000,847691000,702503000,617609000
119,ABC,otherOperatingExpenses,,,,
120,ABC,interestExpense,-59771000,-53011000,-35184000,-34578000
121,ABC,extraordinaryItems,,,,
122,ABC,nonRecurring,,,,
123,ABC,otherItems,,,,
124,ABC,incomeTaxExpense,117488000,278082000,132506000,149175000
125,ABC,totalRevenue,58912421000,53405695000,49154171000,52516556000
126,ABC,totalOperatingExpenses,58405213000,52558004000,48451668000,51898947000
127,ABC,costOfRevenue,57011804000,51517489000,47620790000,51064326000
128,ABC,totalOtherIncomeExpenseNet,46728000,-274161000,-135992000,-89727000
129,ABC,discontinuedOperations,,,,
130,ABC,netIncomeFromContinuingOps,436448000,295448000,434005000,378707000
131,ABC,netIncomeApplicableToCommonShares,437698000,292122000,435267000,374845000
132,ABMD,researchDevelopment,41041000,36837000,32599000,32105000
133,ABMD,effectOfAccountingCharges,,,,
134,ABMD,incomeBeforeTax,67271000,-9350000,73494000,80735000
135,ABMD,minorityInterest,,,,
136,ABMD,netIncome,56953000,-26525000,56856000,61868000
137,ABMD,sellingGeneralAdministrative,102779000,103484000,100374000,86198000
138,ABMD,grossProfit,204256000,207397000,195167000,190553000
139,ABMD,ebit,60436000,67076000,62194000,72250000
140,ABMD,operatingIncome,60436000,67076000,62194000,72250000
